,date,variable,value
643,2021-05-05,cumul_full,641337
644,2021-05-06,cumul_full,660126
645,2021-05-07,cumul_full,675621
646,2021-05-08,cumul_full,684069
647,2021-05-09,cumul_full,690677
648,2021-05-10,cumul_full,715560
649,2021-05-11,cumul_full,734022
650,2021-05-12,cumul_full,741854
651,2021-05-13,cumul_full,741864
652,2021-05-14,cumul_full,741873
653,2021-05-15,cumul_full,742477
654,2021-05-16,cumul_full,742811
655,2021-05-17,cumul_full,771030
656,2021-05-18,cumul_full,803438
657,2021-05-19,cumul_full,837592
658,2021-05-20,cumul_full,859605
659,2021-05-21,cumul_full,878519
660,2021-05-22,cumul_full,881889
661,2021-05-23,cumul_full,890324
662,2021-05-24,cumul_full,916485
663,2021-05-25,cumul_full,947295
664,2021-05-26,cumul_full,949207
665,2021-05-27,cumul_full,998896
666,2021-05-28,cumul_full,1026533
667,2021-05-29,cumul_full,1041625
668,2021-05-30,cumul_full,1066074
669,2021-05-31,cumul_full,1094808
670,2021-06-01,cumul_full,1119282
671,2021-06-02,cumul_full,1129185
672,2021-06-03,cumul_full,1137074
673,2021-06-04,cumul_full,1142068
674,2021-06-05,cumul_full,1143476
675,2021-06-06,cumul_full,1145096
676,2021-06-07,cumul_full,1150205
677,2021-06-08,cumul_full,1196659
678,2021-06-09,cumul_full,1237482
679,2021-06-10,cumul_full,1285003
680,2021-06-11,cumul_full,1315315
681,2021-06-12,cumul_full,1349530
682,2021-06-13,cumul_full,1376554
683,2021-06-14,cumul_full,1432533
684,2021-06-15,cumul_full,1488809
685,2021-06-16,cumul_full,1497116
686,2021-06-17,cumul_full,1541595
687,2021-06-18,cumul_full,1574382
688,2021-06-19,cumul_full,1610736
689,2021-06-20,cumul_full,1634993
690,2021-06-21,cumul_full,1689796
691,2021-06-22,cumul_full,1750891
692,2021-06-23,cumul_full,1831103
693,2021-06-24,cumul_full,1925973
694,2021-06-25,cumul_full,1994302
695,2021-06-26,cumul_full,2050719
696,2021-06-27,cumul_full,2116972
697,2021-06-28,cumul_full,2160651
698,2021-06-29,cumul_full,2246209
699,2021-06-30,cumul_full,2343074
700,2021-07-01,cumul_full,2429709
701,2021-07-02,cumul_full,2500466
702,2021-07-03,cumul_full,2579919
703,2021-07-04,cumul_full,2660806
704,2021-07-05,cumul_full,2782366
705,2021-07-06,cumul_full,2921732
706,2021-07-07,cumul_full,3098404
707,2021-07-08,cumul_full,3259115
708,2021-07-09,cumul_full,3389009
709,2021-07-10,cumul_full,3505818
710,2021-07-11,cumul_full,3609292
711,2021-07-12,cumul_full,3772412
712,2021-07-13,cumul_full,3943906
713,2021-07-14,cumul_full,4108055
714,2021-07-15,cumul_full,4269439
